model,accuracy,precision,recall,f1
LogisticRegression,0.610575,0.5982695448836466,0.610575,0.5976355553036258
RandomForest,0.889625,0.8894567925790033,0.889625,0.8893157506987364
XGBoost,0.854675,0.8549625487111658,0.854675,0.8544869995870753
Proposed_XGB_SelectK,0.83145,0.831465635965669,0.83145,0.8311193869014977
